	origin	familyOrigin	homologueTaxon	symbol	aliases	diseases	diseaseCategories	name	ncbiId	commentCause	uniprot	functionalClusters	expressionChange	ensembl	methylationCorrelation
210	{'id': 9, 'phylum': 'Vertebrata', 'age': '490', 'order': 10}	{'id': 10, 'phylum': 'Metazoa', 'age': '800–900', 'order': 4}		LAMC2	['B2T', 'BM600', 'CSF', 'EBR2', 'EBR2A', 'LAMB2T', 'LAMNB2']	{'893': {'icdCode': 'Q81.8', 'icdName': 'Other epidermolysis bullosa', 'name': 'Epidermolysis bullosa, junctional, non-herlitz type'}, '895': {'icdCode': 'Q81.1', 'icdName': 'Epidermolysis bullosa letalis', 'name': 'Epidermolysis bullosa, junctional, herlitz type'}}	{'143': {'icdCode': 'Q80-Q89', 'icdCategoryName': 'Other congenital malformations'}, '764': {'icdCode': 'Q80-Q89', 'icdCategoryName': 'Other congenital malformations'}}	laminin subunit gamma 2	3918	{'8': 'Age-related changes in gene expression/protein activity in mammals'}		[{'id': 17, 'name': 'intercellular matrix'}, {'id': 31, 'name': 'nervous system'}, {'id': 34, 'name': 'skin health'}, {'id': 5, 'name': 'cell cycle'}, {'id': 6, 'name': 'embryonic development'}]	2	ENSG00000058085	
211	{'id': 14, 'phylum': 'Gnathostomata', 'age': '440', 'order': 11}	{'id': 10, 'phylum': 'Metazoa', 'age': '800–900', 'order': 4}		ESR2	['ER-BETA', 'ESR-BETA', 'ESRB', 'ESTRB', 'Erb', 'NR3A2', 'ODG8']	[]	[]	estrogen receptor 2	2100	{'2': 'Genomic, transcriptome, and proteomic associations with lifespan/age-related phenotype', '8': 'Age-related changes in gene expression/protein activity in mammals'}		[{'id': 27, 'name': 'signaling'}, {'id': 3, 'name': 'transcription regulation'}]	3	ENSG00000140009	
212		{'id': 6, 'phylum': 'Opisthokonta', 'age': '900–1100', 'order': 3}	Tetrapoda	BCL2	['Bcl-2', 'PPP1R50']	[]	[]	B-cell CLL/lymphoma 2	596	{'8': 'Age-related changes in gene expression/protein activity in mammals'}	BCL2_HUMAN	[{'id': 10, 'name': 'immune function'}, {'id': 11, 'name': 'mitochondrial function'}, {'id': 17, 'name': 'intercellular matrix'}, {'id': 27, 'name': 'signaling'}, {'id': 32, 'name': 'autophagy'}, {'id': 37, 'name': 'proteolysis'}, {'id': 4, 'name': 'stress response'}, {'id': 56, 'name': 'apoptosis'}, {'id': 5, 'name': 'cell cycle'}, {'id': 6, 'name': 'embryonic development'}, {'id': 8, 'name': 'glucose metabolism'}]	2	ENSG00000171791	
213		{'id': 6, 'phylum': 'Opisthokonta', 'age': '900–1100', 'order': 3}		SLC16A14	['MCT14']	[]	[]	solute carrier family 16 member 14	151473	{'9': 'Age-related changes in gene expression/protein activity in humans'}		[{'id': 14, 'name': 'transport'}]	3	ENSG00000163053	
214		{'id': 6, 'phylum': 'Opisthokonta', 'age': '900–1100', 'order': 3}		EHMT2	['BAT8', 'C6orf30', 'G9A', 'GAT8', 'KMT1C', 'NG36']	[]	[]	euchromatic histone lysine methyltransferase 2	10919	{'10': 'Gene regulates aging-related genes', '14': 'Other evidence'}		[{'id': 15, 'name': 'epigenetic changes'}, {'id': 27, 'name': 'signaling'}, {'id': 30, 'name': 'cardiovascular system'}, {'id': 32, 'name': 'autophagy'}, {'id': 3, 'name': 'transcription regulation'}, {'id': 4, 'name': 'stress response'}, {'id': 5, 'name': 'cell cycle'}]	0	ENSG00000204371	
215		{'id': 2, 'phylum': 'Eukaryota', 'age': '1000–1900', 'order': 2}		TERC	['DKCA1', 'PFBMFT2', 'SCARNA19', 'TR', 'TRC3', 'hTR']	{'18': {'icdCode': 'D61.0', 'icdName': 'Constitutional aplastic anaemia', 'name': 'Pulmonary fibrosis and/or bone marrow failure, telomere-related'}, '19': {'icdCode': 'Q82.8', 'icdName': 'Other specified congenital malformations of skin', 'name': 'Dyskeratosis congenita'}, '20': {'icdCode': 'J84.1', 'icdName': 'Other interstitial pulmonary diseases with fibrosis', 'name': 'Pulmonary fibrosis, idiopathic'}}	{'143': {'icdCode': 'Q80-Q89', 'icdCategoryName': 'Other congenital malformations'}, '763': {'icdCode': 'D60-D64', 'icdCategoryName': 'Aplastic and other anaemias'}, '764': {'icdCode': 'Q80-Q89', 'icdCategoryName': 'Other congenital malformations'}, '765': {'icdCode': 'J80-J84', 'icdCategoryName': 'Other respiratory diseases principally affecting the interstitium'}}	telomerase RNA component	7012	{'2': 'Genomic, transcriptome, and proteomic associations with lifespan/age-related phenotype', '8': 'Age-related changes in gene expression/protein activity in mammals', '10': 'Gene regulates aging-related genes', '13': 'Modulation of gene activity protects against age-related impairment', '14': 'Other evidence', '15': 'Gene activity modulation decreases mammalian lifespan'}		[{'id': 16, 'name': 'building and protection of telomeres'}, {'id': 26, 'name': 'inflammation'}, {'id': 27, 'name': 'signaling'}, {'id': 3, 'name': 'transcription regulation'}, {'id': 53, 'name': 'carcinogenesis'}]	1	ENSG00000123144	
216		{'id': 2, 'phylum': 'Eukaryota', 'age': '1000–1900', 'order': 2}	Euteleostomi	TERT	['CMM9', 'DKCA2', 'DKCB4', 'EST2', 'PFBMFT1', 'TCS1', 'TP2', 'TRT', 'hEST2', 'hTRT']	{'18': {'icdCode': 'D61.0', 'icdName': 'Constitutional aplastic anaemia', 'name': 'Pulmonary fibrosis and/or bone marrow failure, telomere-related'}, '19': {'icdCode': 'Q82.8', 'icdName': 'Other specified congenital malformations of skin', 'name': 'Dyskeratosis congenita'}, '20': {'icdCode': 'J84.1', 'icdName': 'Other interstitial pulmonary diseases with fibrosis', 'name': 'Pulmonary fibrosis, idiopathic'}, '21': {'icdCode': 'C43', 'icdName': 'Malignant melanoma of skin', 'name': 'Melanoma, cutaneous malignant'}, '22': {'icdCode': 'C92.0', 'icdName': 'Acute myeloblastic leukaemia [AML]', 'name': 'Leukemia, acute myeloid'}}	{'143': {'icdCode': 'Q80-Q89', 'icdCategoryName': 'Other congenital malformations'}, '758': {'icdCode': 'C00-C97', 'icdCategoryName': 'Malignant neoplasms'}, '763': {'icdCode': 'D60-D64', 'icdCategoryName': 'Aplastic and other anaemias'}, '764': {'icdCode': 'Q80-Q89', 'icdCategoryName': 'Other congenital malformations'}, '765': {'icdCode': 'J80-J84', 'icdCategoryName': 'Other respiratory diseases principally affecting the interstitium'}}	telomerase reverse transcriptase	7015	{'6': 'Gene activity modulation increases mammalian lifespan', '8': 'Age-related changes in gene expression/protein activity in mammals', '9': 'Age-related changes in gene expression/protein activity in humans', '10': 'Gene regulates aging-related genes', '13': 'Modulation of gene activity protects against age-related impairment', '17': 'Modulation of gene activity enhances age-related deterioration'}	TERT_HUMAN	[{'id': 13, 'name': 'proteostasis'}, {'id': 16, 'name': 'building and protection of telomeres'}, {'id': 19, 'name': 'senescence'}, {'id': 21, 'name': 'insulin sensitivity'}, {'id': 27, 'name': 'signaling'}, {'id': 2, 'name': 'DNA metabolism'}, {'id': 31, 'name': 'nervous system'}, {'id': 34, 'name': 'skin health'}, {'id': 35, 'name': 'bone health'}, {'id': 36, 'name': 'muscle health'}, {'id': 3, 'name': 'transcription regulation'}, {'id': 53, 'name': 'carcinogenesis'}, {'id': 55, 'name': 'tissue regeneration'}, {'id': 58, 'name': 'cognitive function'}, {'id': 5, 'name': 'cell cycle'}, {'id': 6, 'name': 'embryonic development'}, {'id': 8, 'name': 'glucose metabolism'}]	1	ENSG00000164362	
217		{'id': 2, 'phylum': 'Eukaryota', 'age': '1000–1900', 'order': 2}	Eukaryota	ERCC2	['COFS2', 'EM9', 'TFIIH', 'TTD', 'TTD1', 'XPD']	{'27': {'icdCode': 'XVII', 'icdName': 'Congenital malformations, deformations and chromosomal abnormalities', 'name': 'Trichothiodystrophy'}, '28': {'icdCode': 'Q82.1', 'icdName': 'Xeroderma pigmentosum', 'name': 'Xeroderma pigmentosum, complementation group d'}, '29': {'icdCode': 'Q87.1', 'icdName': 'Congenital malformation syndromes predominantly associated with short stature', 'name': 'Cerebrooculofacioskeletal syndrome'}}	{'143': {'icdCode': 'Q80-Q89', 'icdCategoryName': 'Other congenital malformations'}, '764': {'icdCode': 'Q80-Q89', 'icdCategoryName': 'Other congenital malformations'}}	excision repair cross-complementation group 2	2068	{'2': 'Genomic, transcriptome, and proteomic associations with lifespan/age-related phenotype', '4': 'Association of the gene with accelerated aging in humans', '10': 'Gene regulates aging-related genes', '14': 'Other evidence', '15': 'Gene activity modulation decreases mammalian lifespan', '17': 'Modulation of gene activity enhances age-related deterioration'}	ERCC2_HUMAN	[{'id': 19, 'name': 'senescence'}, {'id': 2, 'name': 'DNA metabolism'}, {'id': 30, 'name': 'cardiovascular system'}, {'id': 34, 'name': 'skin health'}, {'id': 35, 'name': 'bone health'}, {'id': 3, 'name': 'transcription regulation'}, {'id': 4, 'name': 'stress response'}, {'id': 57, 'name': 'eyesight'}, {'id': 59, 'name': 'reproductive function'}]	0	ENSG00000104884	
218		{'id': 2, 'phylum': 'Eukaryota', 'age': '1000–1900', 'order': 2}	Eukaryota	ERCC8	['CKN1', 'CSA', 'UVSS2']	{'30': {'icdCode': 'Q87.1', 'icdName': 'Congenital malformation syndromes predominantly associated with short stature', 'name': 'Cockayne syndrome a'}, '31': {'icdCode': 'XVII', 'icdName': 'Congenital malformations, deformations and chromosomal abnormalities', 'name': 'Uv-sensitive syndrome'}}	{'143': {'icdCode': 'Q80-Q89', 'icdCategoryName': 'Other congenital malformations'}, '764': {'icdCode': 'Q80-Q89', 'icdCategoryName': 'Other congenital malformations'}}	excision repair cross-complementation group 8	1161	{'4': 'Association of the gene with accelerated aging in humans', '10': 'Gene regulates aging-related genes', '17': 'Modulation of gene activity enhances age-related deterioration'}	ERCC8_HUMAN	[{'id': 11, 'name': 'mitochondrial function'}, {'id': 25, 'name': 'oxidation/antioxidant function'}, {'id': 2, 'name': 'DNA metabolism'}, {'id': 3, 'name': 'transcription regulation'}, {'id': 4, 'name': 'stress response'}]	0	ENSG00000049167	
219		{'id': 2, 'phylum': 'Eukaryota', 'age': '1000–1900', 'order': 2}	Eukaryota	WRN	['RECQ3', 'RECQL2', 'RECQL3']	{'32': {'icdCode': 'E34.8', 'icdName': 'Other specified endocrine disorders', 'name': 'Werner syndrome'}}	{'686': {'icdCode': 'E20-E35', 'icdCategoryName': 'Disorders of other endocrine glands'}}	Werner syndrome, RecQ helicase-like	7486	{'2': 'Genomic, transcriptome, and proteomic associations with lifespan/age-related phenotype', '4': 'Association of the gene with accelerated aging in humans', '10': 'Gene regulates aging-related genes'}	WRN_HUMAN	[{'id': 19, 'name': 'senescence'}, {'id': 2, 'name': 'DNA metabolism'}, {'id': 34, 'name': 'skin health'}, {'id': 53, 'name': 'carcinogenesis'}, {'id': 5, 'name': 'cell cycle'}]	0	ENSG00000165392	
220		{'id': 2, 'phylum': 'Eukaryota', 'age': '1000–1900', 'order': 2}	Euteleostomi	E2F1	['E2F-1', 'RBAP1', 'RBBP3', 'RBP3']	[]	[]	E2F transcription factor 1	1869	{'5': 'Gene activity modulation increases non-mammalian lifespan', '8': 'Age-related changes in gene expression/protein activity in mammals', '9': 'Age-related changes in gene expression/protein activity in humans', '10': 'Gene regulates aging-related genes', '13': 'Modulation of gene activity protects against age-related impairment', '14': 'Other evidence'}	E2F1_HUMAN	[{'id': 3, 'name': 'transcription regulation'}, {'id': 56, 'name': 'apoptosis'}, {'id': 59, 'name': 'reproductive function'}, {'id': 5, 'name': 'cell cycle'}, {'id': 6, 'name': 'embryonic development'}, {'id': 7, 'name': 'cell differentiation'}]	3	ENSG00000101412	
221		{'id': 2, 'phylum': 'Eukaryota', 'age': '1000–1900', 'order': 2}	Euteleostomi	JUND	['AP-1']	[]	[]	jun D proto-oncogene	3727	{'8': 'Age-related changes in gene expression/protein activity in mammals', '9': 'Age-related changes in gene expression/protein activity in humans', '13': 'Modulation of gene activity protects against age-related impairment'}	JUND_HUMAN	[{'id': 3, 'name': 'transcription regulation'}, {'id': 5, 'name': 'cell cycle'}, {'id': 7, 'name': 'cell differentiation'}]	1	ENSG00000130522	
222	{'id': 9, 'phylum': 'Vertebrata', 'age': '490', 'order': 10}	{'id': 2, 'phylum': 'Eukaryota', 'age': '1000–1900', 'order': 2}	Bilateria	PRKCD	['ALPS3', 'CVID9', 'MAY1', 'PKCD', 'nPKC-delta']	{'103': {'icdCode': 'D47.9', 'icdName': 'Neoplasm of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue, unspecified', 'name': 'Autoimmune lymphoproliferative syndrome, type iii'}}	{'685': {'icdCode': 'D37-D48', 'icdCategoryName': 'Neoplasms of uncertain or unknown behaviour'}}	protein kinase C, delta	5580	{'8': 'Age-related changes in gene expression/protein activity in mammals', '13': 'Modulation of gene activity protects against age-related impairment', '14': 'Other evidence'}	KPCD_HUMAN	[{'id': 10, 'name': 'immune function'}, {'id': 12, 'name': 'cytoskeleton organization'}, {'id': 13, 'name': 'proteostasis'}, {'id': 27, 'name': 'signaling'}, {'id': 56, 'name': 'apoptosis'}, {'id': 5, 'name': 'cell cycle'}, {'id': 61, 'name': 'protein modification'}]	2	ENSG00000163932	
223		{'id': 2, 'phylum': 'Eukaryota', 'age': '1000–1900', 'order': 2}	Euteleostomi	TCF3	['AGM8', 'E2A', 'E47', 'ITF1', 'TCF-3', 'VDIR', 'bHLHb21', 'p75']	{'90': {'icdCode': 'C91.0', 'icdName': 'Acute lymphoblastic leukaemia [ALL]', 'name': 'Leukemia, acute lymphoblastic'}}	{'758': {'icdCode': 'C00-C97', 'icdCategoryName': 'Malignant neoplasms'}}	transcription factor 3	6929	{'2': 'Genomic, transcriptome, and proteomic associations with lifespan/age-related phenotype', '5': 'Gene activity modulation increases non-mammalian lifespan', '8': 'Age-related changes in gene expression/protein activity in mammals', '9': 'Age-related changes in gene expression/protein activity in humans', '14': 'Other evidence', '17': 'Modulation of gene activity enhances age-related deterioration'}	TFE2_HUMAN	[{'id': 10, 'name': 'immune function'}, {'id': 3, 'name': 'transcription regulation'}, {'id': 5, 'name': 'cell cycle'}, {'id': 7, 'name': 'cell differentiation'}]	1	ENSG00000071564	
224		{'id': 2, 'phylum': 'Eukaryota', 'age': '1000–1900', 'order': 2}	Amniota	BRCA1	['BRCAI', 'BRCC1', 'BROVCA1', 'FANCS', 'IRIS', 'PNCA4', 'PPP1R53', 'PSCP', 'RNF53']	{'11': {'icdCode': 'C50', 'icdName': 'Malignant neoplasm of breast', 'name': 'Breast cancer'}, '72': {'icdCode': 'C56', 'icdName': 'Malignant neoplasm of ovary', 'name': 'Ovarian cancer'}, '113': {'icdCode': 'C25', 'icdName': 'Malignant neoplasm of pancreas', 'name': 'Pancreatic cancer, susceptibility to, 4'}, '114': {'icdCode': 'D61.0', 'icdName': 'Constitutional aplastic anaemia', 'name': 'Fanconi anemia'}, '115': {'icdCode': 'C50', 'icdName': 'Malignant neoplasm of breast', 'name': 'Breast-ovarian cancer, familial, susceptibility to'}}	{'758': {'icdCode': 'C00-C97', 'icdCategoryName': 'Malignant neoplasms'}, '763': {'icdCode': 'D60-D64', 'icdCategoryName': 'Aplastic and other anaemias'}}	breast cancer 1, early onset	672	{'2': 'Genomic, transcriptome, and proteomic associations with lifespan/age-related phenotype', '8': 'Age-related changes in gene expression/protein activity in mammals', '9': 'Age-related changes in gene expression/protein activity in humans'}	BRCA1_HUMAN	[{'id': 15, 'name': 'epigenetic changes'}, {'id': 27, 'name': 'signaling'}, {'id': 2, 'name': 'DNA metabolism'}, {'id': 3, 'name': 'transcription regulation'}, {'id': 5, 'name': 'cell cycle'}, {'id': 6, 'name': 'embryonic development'}]	1	ENSG00000012048	
225		{'id': 2, 'phylum': 'Eukaryota', 'age': '1000–1900', 'order': 2}	Amniota	BRCA2	['BRCC2', 'BROVCA2', 'FACD', 'FAD', 'FAD1', 'FANCD', 'FANCD1', 'GLM3', 'PNCA2', 'XRCC11']	{'11': {'icdCode': 'C50', 'icdName': 'Malignant neoplasm of breast', 'name': 'Breast cancer'}, '14': {'icdCode': 'C71', 'icdName': 'Malignant neoplasm of brain', 'name': 'Glioma'}, '114': {'icdCode': 'D61.0', 'icdName': 'Constitutional aplastic anaemia', 'name': 'Fanconi anemia'}, '115': {'icdCode': 'C50', 'icdName': 'Malignant neoplasm of breast', 'name': 'Breast-ovarian cancer, familial, susceptibility to'}, '118': {'icdCode': 'C61', 'icdName': 'Malignant neoplasm of prostate', 'name': 'Prostate cancer'}, '132': {'icdCode': 'C25', 'icdName': 'Malignant neoplasm of pancreas', 'name': 'Pancreatic cancer, susceptibility to, 2'}, '133': {'icdCode': 'C64', 'icdName': 'Malignant neoplasm of kidney, except renal pelvis', 'name': 'Wilms tumor'}, '134': {'icdCode': 'C71.6', 'icdName': 'Malignant neoplasm: Cerebellum', 'name': 'Medulloblastoma'}}	{'758': {'icdCode': 'C00-C97', 'icdCategoryName': 'Malignant neoplasms'}, '763': {'icdCode': 'D60-D64', 'icdCategoryName': 'Aplastic and other anaemias'}}	breast cancer 2, early onset	675	{'8': 'Age-related changes in gene expression/protein activity in mammals'}	BRCA2_HUMAN	[{'id': 16, 'name': 'building and protection of telomeres'}, {'id': 2, 'name': 'DNA metabolism'}, {'id': 33, 'name': 'hemopoiesis'}, {'id': 3, 'name': 'transcription regulation'}, {'id': 5, 'name': 'cell cycle'}, {'id': 6, 'name': 'embryonic development'}]	2	ENSG00000139618	
226		{'id': 2, 'phylum': 'Eukaryota', 'age': '1000–1900', 'order': 2}	Euteleostomi	ERCC6	['ARMD5', 'CKN2', 'COFS', 'COFS1', 'CSB', 'CSB-PGBD3', 'POF11', 'RAD26', 'UVSS1']	{'29': {'icdCode': 'Q87.1', 'icdName': 'Congenital malformation syndromes predominantly associated with short stature', 'name': 'Cerebrooculofacioskeletal syndrome'}, '31': {'icdCode': 'XVII', 'icdName': 'Congenital malformations, deformations and chromosomal abnormalities', 'name': 'Uv-sensitive syndrome'}, '81': {'icdCode': 'C34', 'icdName': 'Malignant neoplasm of bronchus and lung', 'name': 'Lung cancer'}, '141': {'icdCode': 'H35.3', 'icdName': 'Degeneration of macula and posterior pole', 'name': 'Macular degeneration, age-related'}, '142': {'icdCode': 'Q87.1', 'icdName': 'Congenital malformation syndromes predominantly associated with short stature', 'name': 'Cockayne syndrome b'}, '143': {'icdCode': 'Q80-Q89', 'icdName': 'Other congenital malformations', 'name': 'De sanctis-cacchione syndrome'}}	{'27': {'icdCode': 'XVII', 'icdCategoryName': 'Congenital malformations, deformations and chromosomal abnormalities'}, '31': {'icdCode': 'XVII', 'icdCategoryName': 'Congenital malformations, deformations and chromosomal abnormalities'}, '100': {'icdCode': 'XVII', 'icdCategoryName': 'Congenital malformations, deformations and chromosomal abnormalities'}, '117': {'icdCode': 'XVII', 'icdCategoryName': 'Congenital malformations, deformations and chromosomal abnormalities'}, '119': {'icdCode': 'XVII', 'icdCategoryName': 'Congenital malformations, deformations and chromosomal abnormalities'}, '143': {'icdCode': 'Q80-Q89', 'icdCategoryName': 'Other congenital malformations'}, '190': {'icdCode': 'XVII', 'icdCategoryName': 'Congenital malformations, deformations and chromosomal abnormalities'}, '207': {'icdCode': 'XVII', 'icdCategoryName': 'Congenital malformations, deformations and chromosomal abnormalities'}, '243': {'icdCode': 'XVII', 'icdCategoryName': 'Congenital malformations, deformations and chromosomal abnormalities'}, '261': {'icdCode': 'XVII', 'icdCategoryName': 'Congenital malformations, deformations and chromosomal abnormalities'}, '279': {'icdCode': 'XVII', 'icdCategoryName': 'Congenital malformations, deformations and chromosomal abnormalities'}, '299': {'icdCode': 'XVII', 'icdCategoryName': 'Congenital malformations, deformations and chromosomal abnormalities'}, '405': {'icdCode': 'XVII', 'icdCategoryName': 'Congenital malformations, deformations and chromosomal abnormalities'}, '444': {'icdCode': 'XVII', 'icdCategoryName': 'Congenital malformations, deformations and chromosomal abnormalities'}, '462': {'icdCode': 'XVII', 'icdCategoryName': 'Congenital malformations, deformations and chromosomal abnormalities'}, '469': {'icdCode': 'XVII', 'icdCategoryName': 'Congenital malformations, deformations and chromosomal abnormalities'}, '475': {'icdCode': 'XVII', 'icdCategoryName': 'Congenital malformations, deformations and chromosomal abnormalities'}, '546': {'icdCode': 'XVII', 'icdCategoryName': 'Congenital malformations, deformations and chromosomal abnormalities'}, '564': {'icdCode': 'XVII', 'icdCategoryName': 'Congenital malformations, deformations and chromosomal abnormalities'}, '758': {'icdCode': 'C00-C97', 'icdCategoryName': 'Malignant neoplasms'}, '764': {'icdCode': 'Q80-Q89', 'icdCategoryName': 'Other congenital malformations'}, '806': {'icdCode': 'H30-H36', 'icdCategoryName': 'Disorders of choroid and retina'}}	excision repair cross-complementation group 6	2074	{'2': 'Genomic, transcriptome, and proteomic associations with lifespan/age-related phenotype', '4': 'Association of the gene with accelerated aging in humans', '10': 'Gene regulates aging-related genes', '17': 'Modulation of gene activity enhances age-related deterioration'}	ERCC6_HUMAN	[{'id': 11, 'name': 'mitochondrial function'}, {'id': 2, 'name': 'DNA metabolism'}, {'id': 3, 'name': 'transcription regulation'}, {'id': 4, 'name': 'stress response'}, {'id': 55, 'name': 'tissue regeneration'}, {'id': 57, 'name': 'eyesight'}]	0	ENSG00000225830	
227		{'id': 2, 'phylum': 'Eukaryota', 'age': '1000–1900', 'order': 2}	Amniota	PML	['MYL', 'PP8675', 'RNF71', 'TRIM19']	[]	[]	promyelocytic leukemia	5371	{'6': 'Gene activity modulation increases mammalian lifespan', '8': 'Age-related changes in gene expression/protein activity in mammals', '9': 'Age-related changes in gene expression/protein activity in humans', '10': 'Gene regulates aging-related genes', '13': 'Modulation of gene activity protects against age-related impairment', '14': 'Other evidence'}	PML_HUMAN	[{'id': 10, 'name': 'immune function'}, {'id': 13, 'name': 'proteostasis'}, {'id': 15, 'name': 'epigenetic changes'}, {'id': 16, 'name': 'building and protection of telomeres'}, {'id': 19, 'name': 'senescence'}, {'id': 25, 'name': 'oxidation/antioxidant function'}, {'id': 2, 'name': 'DNA metabolism'}, {'id': 3, 'name': 'transcription regulation'}, {'id': 56, 'name': 'apoptosis'}, {'id': 5, 'name': 'cell cycle'}]	3	ENSG00000140464	
228	{'id': 9, 'phylum': 'Vertebrata', 'age': '490', 'order': 10}	{'id': 2, 'phylum': 'Eukaryota', 'age': '1000–1900', 'order': 2}	Bilateria	PRKCA	['AAG6', 'PKC-alpha', 'PKCA', 'PKCI+/-', 'PKCalpha', 'PRKACA']	[]	[]	protein kinase C, alpha	5578	{'8': 'Age-related changes in gene expression/protein activity in mammals', '17': 'Modulation of gene activity enhances age-related deterioration'}	KPCA_HUMAN	[{'id': 27, 'name': 'signaling'}, {'id': 56, 'name': 'apoptosis'}, {'id': 58, 'name': 'cognitive function'}, {'id': 5, 'name': 'cell cycle'}, {'id': 61, 'name': 'protein modification'}, {'id': 64, 'name': 'angiogenesis'}]	3	ENSG00000154229	
229		{'id': 2, 'phylum': 'Eukaryota', 'age': '1000–1900', 'order': 2}	Eukaryota	ERCC3	['BTF2', 'GTF2H', 'RAD25', 'Ssl2', 'TFIIH', 'TTD2', 'XPB']	{'27': {'icdCode': 'XVII', 'icdName': 'Congenital malformations, deformations and chromosomal abnormalities', 'name': 'Trichothiodystrophy'}, '151': {'icdCode': 'Q82.1', 'icdName': 'Xeroderma pigmentosum', 'name': 'Xeroderma pigmentosum, complementation group b'}}	{'143': {'icdCode': 'Q80-Q89', 'icdCategoryName': 'Other congenital malformations'}, '764': {'icdCode': 'Q80-Q89', 'icdCategoryName': 'Other congenital malformations'}}	excision repair cross-complementation group 3	2071	{'9': 'Age-related changes in gene expression/protein activity in humans'}	ERCC3_HUMAN	[{'id': 2, 'name': 'DNA metabolism'}, {'id': 3, 'name': 'transcription regulation'}, {'id': 4, 'name': 'stress response'}]	1	ENSG00000163161	
230		{'id': 2, 'phylum': 'Eukaryota', 'age': '1000–1900', 'order': 2}	Euteleostomi	TERF1	['PIN2', 'TRBF1', 'TRF', 'TRF1', 'hTRF1-AS', 't-TRF1']	[]	[]	telomeric repeat binding factor (NIMA-interacting) 1	7013	{'2': 'Genomic, transcriptome, and proteomic associations with lifespan/age-related phenotype', '8': 'Age-related changes in gene expression/protein activity in mammals', '9': 'Age-related changes in gene expression/protein activity in humans', '14': 'Other evidence'}	TERF1_HUMAN	[{'id': 16, 'name': 'building and protection of telomeres'}, {'id': 19, 'name': 'senescence'}, {'id': 27, 'name': 'signaling'}, {'id': 31, 'name': 'nervous system'}, {'id': 34, 'name': 'skin health'}, {'id': 36, 'name': 'muscle health'}, {'id': 56, 'name': 'apoptosis'}, {'id': 58, 'name': 'cognitive function'}, {'id': 5, 'name': 'cell cycle'}, {'id': 6, 'name': 'embryonic development'}, {'id': 8, 'name': 'glucose metabolism'}]	3	ENSG00000147601	
231	{'id': 9, 'phylum': 'Vertebrata', 'age': '490', 'order': 10}	{'id': 2, 'phylum': 'Eukaryota', 'age': '1000–1900', 'order': 2}	Bilateria	PRKDC	['DNA-PKC', 'DNA-PKcs', 'DNAPK', 'DNAPKc', 'DNPK1', 'HYRC', 'HYRC1', 'IMD26', 'XRCC7', 'p350']	{'152': {'icdCode': 'D81.1', 'icdName': 'Severe combined immunodeficiency [SCID] with low T- and B-cell numbers', 'name': 'Immunodeficiency 26 with or without neurologic abnormalities'}}	{'776': {'icdCode': 'D80-D89', 'icdCategoryName': 'Certain disorders involving the immune mechanism'}}	protein kinase, DNA-activated, catalytic polypeptide	5591	{'8': 'Age-related changes in gene expression/protein activity in mammals', '10': 'Gene regulates aging-related genes', '13': 'Modulation of gene activity protects against age-related impairment', '15': 'Gene activity modulation decreases mammalian lifespan', '17': 'Modulation of gene activity enhances age-related deterioration'}	PRKDC_HUMAN	[{'id': 10, 'name': 'immune function'}, {'id': 16, 'name': 'building and protection of telomeres'}, {'id': 21, 'name': 'insulin sensitivity'}, {'id': 2, 'name': 'DNA metabolism'}, {'id': 30, 'name': 'cardiovascular system'}, {'id': 31, 'name': 'nervous system'}, {'id': 34, 'name': 'skin health'}, {'id': 36, 'name': 'muscle health'}, {'id': 56, 'name': 'apoptosis'}, {'id': 61, 'name': 'protein modification'}]	0	ENSG00000253729	
232		{'id': 2, 'phylum': 'Eukaryota', 'age': '1000–1900', 'order': 2}	Amniota	ERCC5	['COFS3', 'ERCC5-201', 'ERCM2', 'UVDR', 'XPG', 'XPGC']	{'29': {'icdCode': 'Q87.1', 'icdName': 'Congenital malformation syndromes predominantly associated with short stature', 'name': 'Cerebrooculofacioskeletal syndrome'}, '154': {'icdCode': 'Q87.1', 'icdName': 'Congenital malformation syndromes predominantly associated with short stature', 'name': 'Xeroderma pigmentosum, complementation group g'}}	{'143': {'icdCode': 'Q80-Q89', 'icdCategoryName': 'Other congenital malformations'}, '764': {'icdCode': 'Q80-Q89', 'icdCategoryName': 'Other congenital malformations'}}	excision repair cross-complementation group 5	2073	{'2': 'Genomic, transcriptome, and proteomic associations with lifespan/age-related phenotype', '4': 'Association of the gene with accelerated aging in humans', '9': 'Age-related changes in gene expression/protein activity in humans', '15': 'Gene activity modulation decreases mammalian lifespan', '17': 'Modulation of gene activity enhances age-related deterioration'}	ERCC5_HUMAN	[{'id': 2, 'name': 'DNA metabolism'}, {'id': 31, 'name': 'nervous system'}, {'id': 34, 'name': 'skin health'}, {'id': 35, 'name': 'bone health'}, {'id': 3, 'name': 'transcription regulation'}, {'id': 4, 'name': 'stress response'}, {'id': 57, 'name': 'eyesight'}]	2	ENSG00000134899	
